img,What_does_the_text_on_image_say?,How_many_people_are_in_the_image?,Can_you_summarize_the_image_in_brief?,task
1186006253539135493.jpg,don't harry,There are no people in the image.,"The tattoo on the person's thigh shows a pair of scissors with flowers and a message that reads ""don't harry"".",abortion
1192544790698766346.jpg,unborn lives matter,There are ten people in the image.,"A group of people are standing outside a building holding signs that read, ""Unborn lives matter abortion"".",abortion
1099023568518561797.jpg,Stand with Life,There are no people in the image.,"The image features a pregnant woman holding a baby in her arms, with the text ""stand with life"" written on the side of the image.",abortion
1192064654421512192.jpg,chinese,There are several people in the image.,a woman holding a sign in front of a group of soldiers,abortion
1181984487292489730.jpg,let's be clear freedom of religion politician don't give anyone anything to intimidate or infringe on others,There are no people in the image.,a blue background with a quote that says let's be clear freedom of religion politicians don't have any right to discriminate or infringe the rights of others,abortion
1239623400840220678.jpg,The text on the image reads emergency.,There are no people in the image.,"The image features a large red sign that reads ""Emergency"" on the side of a brick building. The sign indicates that the building is an emergency room, which is important for patients and visitors alike.",abortion
1246449664796307459.jpg,a man is talking to a police officer in front of a car,There are several people in the image.,a man is standing in front of a group of police officers,abortion
1353455054489935873.jpg,satanic temple's statue,There are two people in the image.,A comical image of a Satanic temple's satan statue with the caption 'tickets for the igniting satan statue sold the abortion as a human sacrifice'.,abortion
1075081792804159493.jpg,I am the Pro Life Generation,There are four people in the image.,three young women holding signs that say i am the pro life generation,abortion
1163558002181509121.jpg,nothing,There are two people in the image.,"The image depicts a woman nursing a newborn baby in a hospital bed. The woman is holding the baby, which is wrapped in a blue blanket. The woman may be a nurse, a doctor, or another medical professional caring for the baby.",abortion
1078315878477955073.jpg,Abortion Contributes to Higher Suicide Rates,There are two people in the image.,abortion contributes to higher suicide rates,abortion
1180483254371147779.jpg,Rosary of the Unborn,There are no people in the image.,rosary of the unborn,abortion
1365376105662840832.jpg,percentage of pregnancies sparked by recent data,There are many people in the image.,a map showing the percentage of pregnancies by region in europe,abortion
1163911079459741698.jpg,take days off work whether or not you can motel,There are two people in the image.,a cartoon of a woman at a motel,abortion
1268195963228893186.jpg,Choosing Life Gives Birth to Generations,There are three people in the image.,choosing life gives birth to generations is an advertisement for human evolution.,abortion
